L,rho
10,0.21701835677476836
10,0.1686897554204361
10,-0.016072312779664654
10,0.1202715112327096
10,0.17244021876612545
10,0.09498209651905737
10,0.12228335526575636
10,0.13288483655111338
10,0.19025301221810445
10,0.22813593561467146
10,0.20522798417422944
10,0.21898774282994943
10,0.19166113669553042
10,0.025014683026924642
10,0.09159497366808853
10,0.21214045991719419
10,0.07364393617644678
10,0.23641980950639135
10,0.12927502399050558
10,0.21964520547606683
30,0.17089803898432251
30,0.18435250772868989
30,0.12406745312808443
30,0.12908456746026228
30,0.251357939034078
30,0.16312587977914453
30,0.1643395993699195
30,0.17086301975696352
30,0.1490001986429008
30,0.2052964828226058
30,0.16180157507309914
30,0.1474796105466558
30,0.18181672574620414
30,0.1077615977637724
30,0.22737775682524136
30,0.18602644499414966
30,0.1872986744249206
30,0.18232986535720036
30,0.1639983902757879
30,0.21295411262309233
50,0.118067217931683
50,0.17534894904518772
50,0.2083231226167191
50,0.202874205990561
50,0.15998518395534786
50,0.2940644020542815
50,0.2348056477738518
50,0.1699444663600169
50,0.14396934805888642
50,0.2624884440257046
50,0.22617819502657055
50,0.23244380170256004
50,0.2053667664272113
50,0.22457118094206227
50,0.23216636082982284
50,0.16642216453733644
50,0.24110960524061925
50,0.19982997894742355
50,0.18384681190853402
50,0.2075975636668862
70,0.14524659241674867
70,0.27537631133388835
70,0.24735276511053184
70,0.25012583130528937
70,0.2257597611170753
70,0.22558288425766465
70,0.19968444935391766
70,0.1921619558420034
70,0.21756927945296595
70,0.17836002555214706
70,0.18797549927640453
70,0.19259779112658185
70,0.2039137225136712
70,0.2077327274334342
70,0.2479578586578119
70,0.2184073537054637
70,0.18422808619034678
70,0.24827365607156
70,0.25060857272616377
70,0.18255702921535505
90,0.1968113986159432
90,0.25073362101315716
90,0.2276945444680549
90,0.2533048734756147
90,0.2284932827145459
90,0.1986067671219382
90,0.1915614608723811
90,0.1812035808766826
90,0.27555886493285475
90,0.20628363285427934
90,0.21421114627956633
90,0.22326414344656678
90,0.19047330882202718
90,0.20374548827609104
90,0.23068778466351542
90,0.225738565892646
90,0.18228211068040062
90,0.2602897201992302
90,0.1927447493834632
90,0.1757996131254981
110,0.23436256220896368
110,0.23305186423041488
110,0.2779956778708179
110,0.21704764293530202
110,0.22673309806996736
110,0.24950782136082647
110,0.2029959847171
110,0.23901891904388625
110,0.18559069056410954
110,0.26031710035755184
110,0.22325785321308086
110,0.22706445287943933
110,0.21038961461244368
110,0.21022712331662813
110,0.2531299571824657
110,0.211796339484311
110,0.17746695737966547
110,0.2933160406185814
110,0.23245368441807301
110,0.2902808059743441
