"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00176666239846043,0.00753930300328494,0.482071759782492,0.423930627503326,0.0786579735985338,-0.0751455445272274,0.084392371026636,-0.069402933609398
"30",30,0.00947671353841853,0.0464332141998913,0.404719389862684,0.118567455936467,0.0863158061223511,-0.0674744580377714,0.122896372642762,-0.0305779714945768
"50",50,0.0364873509572675,0.0856803927143602,0.176504839128397,0.0144721888159915,0.113072074013018,-0.0405283672840826,0.16151814836916,0.00883661947948208
"70",70,0.0673518430748566,0.141807275266413,0.0431006694232989,0.000143491616540703,0.14351052920241,-0.0095998770666414,0.216349920202406,0.0656208906590487
"90",90,0.0498683868306014,0.188754752271506,0.102088217407203,6.27688461651843e-07,0.126286080082074,-0.0271376832650453,0.261855751992682,0.113500281280793
"110",110,0.0368582045855588,0.250055585619873,0.174067321877525,5.03432850962326e-11,0.113438663807699,-0.0401576186241032,0.320788885492622,0.176548577208373
