"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.0610821597415727,0.0557396327902411,0.0598836478084556,0.0778830920060738,0.137339029273254,-0.0158944997917128,0.132075490301254,-0.0212534676292674
"30",30,0.138890525602321,0.168310077728551,0.000191565602725818,8.02970232838263e-06,0.213512010263306,0.0626577730373865,0.242078757747596,0.0926067241999662
"50",50,0.273607079853775,0.292271351441873,6.32383034826489e-13,1.4432899320127e-14,0.343286020049385,0.200932897425231,0.361058116333079,0.220321351734854
"70",70,0.368214635749218,0.335662806706076,0,0,0.432859590335277,0.299801962692771,0.402183193146271,0.265617223726596
"90",90,0.440815260229131,0.393110419003204,0,0,0.500742306946009,0.376682643766037,0.456220427628184,0.326065706045696
"110",110,0.594847286684628,0.524727093661248,0,0,0.642364362154781,0.542774477451016,0.57829346843998,0.466655855202992
