"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00484934237934632,0.00910517150259259,0.45089628178769,0.408387370036516,0.0817208643601749,-0.0720795354796821,0.0859469885779828,-0.0678443311588019
"30",30,0.0185298471570284,0.062425237465041,0.318623496496118,0.0559145658979247,0.0952960496385386,-0.0584554484821745,0.138661572849278,-0.0145465929414259
"50",50,0.0475674898379688,0.144305252975418,0.11293061895885,0.00011154105620037,0.124015833242323,-0.0294422084527571,0.218779376646941,0.0681596476122755
"70",70,0.0898682298686633,0.249597684048128,0.0109693549819752,5.4580784336622e-11,0.165625581451642,0.0130564660494385,0.3203506909859,0.17607537584301
"90",90,0.118801789632483,0.327870666381446,0.00120753755150571,0,0.193932006073388,0.0422861219960903,0.39481776476439,0.25746024804123
"110",110,0.135087429163137,0.387501877463429,0.000276907715835328,0,0.209809818955622,0.0587962357946665,0.450965259887142,0.320139943998125
