L,rho
110,0.04112477350465747
110,0.04558370038494276
110,0.046438568605037596
110,0.046438568605037596
110,0.0402280616387985
110,0.02649895266636081
110,0.019247090494601028
110,0.01898037717348586
110,0.01637241016632076
110,0.017735880122593122
110,0.02117750533313242
110,0.033922541650259645
110,0.02931541594137556
110,0.02511233711983514
110,0.016392414392184286
110,0.016225300424317985
110,0.014978012133141195
110,0.014978012133141195
110,0.013303082704228014
110,0.013494559958124987
110,0.014233908225395088
110,0.014562051281878867
110,0.027652853975654788
110,0.030688998314710586
110,0.028668845935663705
110,0.03041494003542609
110,0.026228384351720545
110,0.020334547687639398
110,0.016746159807272468
110,0.016725085125544967
110,0.01599759487294412
110,0.017070212208022763
110,0.003500489902975741
110,-0.010815779701500109
110,-0.010924259921228226
110,-0.01311856827923188
110,-0.01304130684178814
110,-0.01467019201873094
110,-0.015572851826181696
110,-0.015649653451748787
110,-0.016928733802201845
110,-0.016873450640301484
110,-0.01581474556216076
110,-0.01785627408734004
110,0.0703744942331727
110,0.08067684784630302
110,0.07219273909259658
110,0.06200717137058946
110,0.05859690721232756
110,0.04047545480923267
110,0.0405341133386346
110,0.040566183510786995
110,0.038395386178107144
110,0.04346049376100812
110,0.04714426456190081
110,0.04680762927329939
110,0.028059854889054808
110,0.012057082228636079
110,0.008701406742787486
110,0.00825242862080757
110,0.005051982658869843
110,0.005252840237333149
110,0.0052509066144806665
110,0.005354326507755887
110,0.006505558776668227
110,0.003598410988286638
110,0.0566743181170827
110,0.05285255517083353
110,0.05465411181511688
110,0.05185565185775471
110,0.048160840948610485
110,0.056793104551896546
110,0.06288683030783468
110,0.07279420409234098
110,0.06902292177661322
110,0.07802782362640623
110,0.06395746077637605
110,0.0595350052180881
110,0.06253612735312923
110,0.058628197567988184
110,0.040637726436915676
110,0.03906330135085074
110,0.04010039538471864
110,0.04229067362128047
110,0.044489370730159114
110,0.04443278780852793
110,0.04525345819962875
110,0.03990692674370988
110,0.03249060320052436
110,0.04232907309556501
110,0.030932140203716273
110,0.04707780801444886
110,0.05118882685540407
110,0.05670343471031607
110,0.0625761214600354
110,0.07071575744707478
110,0.06727959138532785
110,0.0619442845965184
110,0.056963126954320466
110,0.05616658170986395
110,0.048580687464710365
110,0.042813787127739734
110,0.03673996793345965
110,0.040890996508258955
110,0.039809719628378114
110,0.04003676373355788
110,0.04096955472096152
110,0.0407454641559217
110,0.04089024614797539
110,0.041148793786686545
110,0.044960574041010844
110,0.05674893611585687
110,0.059359224710165547
110,0.06273861751903578
110,0.06052128844568801
110,0.04742015300839309
110,0.056679443499116355
110,0.054841263475865445
110,0.0517251052408071
