"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0,0.5,0.5,0.076901997661955,-0.0769019976619549,0.076901997661955,-0.0769019976619549
"30",30,0.00938083095786229,0.0200361751645797,0.405665187434148,0.305063492547556,0.0862206286582058,-0.0675699119521257,0.0967890381572819,-0.0569535778171121
"50",50,0.0229874954409002,0.0515431888954092,0.279267910316948,0.094685562634142,0.0997132216330906,-0.0540099802172415,0.127938068941529,-0.0254597253688965
"70",70,0.0315643053861057,0.0770911962559013,0.210875746848809,0.0247309200123729,0.108203654027786,-0.045448010874948,0.153085630808318,0.000190326940933798
"90",90,0.0342690193503004,0.118056838925838,0.191531494225934,0.00128648289444444,0.110878811865039,-0.0427456282615317,0.193204767837217,0.041531901370429
"110",110,0.0381976116758769,0.160448577044063,0.165442641370493,1.983172948683e-05,0.11476249764048,-0.0388184140153234,0.234457644942604,0.0845903238314249
