"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0,0.5,0.5,0.076901997661955,-0.0769019976619549,0.076901997661955,-0.0769019976619549
"30",30,0.0257874936820834,0.0185637540943727,0.255816087791519,0.318315491889985,0.102486249859744,-0.051216071071247,0.0953296601084016,-0.0584216457115782
"50",50,0.0738286545066419,0.0699156766662041,0.0299714286654897,0.0374352998936087,0.149879699530617,-0.00309089191365635,0.146032507884758,-0.00702408709015408
"70",70,0.110360393877737,0.100903601104841,0.00242491887912066,0.00502407024847207,0.185686482478576,0.0337447860128927,0.176436506437475,0.0241893049139597
"90",90,0.120800272254128,0.0874431888027143,0.0010171045651336,0.0128952050457579,0.19588256355323,0.0443099039515994,0.163247420062786,0.0106125558659308
"110",110,0.10623302615832,0.0713968592822875,0.00335521547767148,0.0344489849557155,0.181651020012303,0.0295726229840646,0.147489059252012,-0.00553553155391611
