L,rho
10,0.3671576297182895
10,0.189577996476393
10,-0.02756055806054795
10,0.48072429196858046
10,0.5495645418333029
10,0.28242883424822424
10,0.33336446068403747
10,0.4370844738010933
10,0.21649492858344033
10,0.20049007537343916
10,0.38845394569199465
10,0.4973520109530721
10,0.26226772219177824
10,0.18375651262165538
10,0.4415550685831073
10,0.39159252279467655
10,0.11191570195108148
10,0.4601367798341844
10,0.1181227458589894
10,0.29569588648634415
30,0.4735418970786718
30,0.49440158120640526
30,0.4730615466464247
30,0.4588395479560353
30,0.4397011086651663
30,0.5146343427963193
30,0.44607327500031885
30,0.5609596925661664
30,0.49344130925206353
30,0.5601221652448097
30,0.5097307913848773
30,0.5060740741975445
30,0.5681803689875223
30,0.47429414500852146
30,0.4725175095229972
30,0.41152330180290203
30,0.41197598884479875
30,0.532770480999132
30,0.26915832611782237
30,0.5046465350928974
50,0.5406148872619377
50,0.43420546442638697
50,0.49808082066597736
50,0.5654302846396104
50,0.5291989082602947
50,0.42101339544906335
50,0.4015724034962462
50,0.5001989938617414
50,0.38266958733585454
50,0.500541375537802
50,0.5258295764070398
50,0.37755936755037983
50,0.58530512074345
50,0.42917828012744297
50,0.5011748884593138
50,0.5702610973498433
50,0.4663931523880318
50,0.43668787032836626
50,0.3321017455231659
50,0.5662663928134675
70,0.544681315106451
70,0.5637816397476952
70,0.5225939158000603
70,0.469426554847305
70,0.44004583955905346
70,0.4816510912580413
70,0.5400849059259037
70,0.48343729929416135
70,0.5236997963546209
70,0.4002115328359856
70,0.48958782948115387
70,0.487841405284108
70,0.33871214668028465
70,0.52045106929947
70,0.4579888972887177
70,0.3918131989183427
70,0.4983030297338825
70,0.5216547162897713
70,0.40643002350465546
70,0.5529225041290174
90,0.5152062841802764
90,0.561579064951198
90,0.4161828146597295
90,0.5744427068502233
90,0.49802463531731894
90,0.4507114101339765
90,0.5207282693577868
90,0.4522726830152768
90,0.48682853841302764
90,0.4673301818198747
90,0.48800871820546887
90,0.5043598187879335
90,0.37571021875966776
90,0.519766205930795
90,0.4187434067088639
90,0.5549367903234799
90,0.628628671317395
90,0.5369907196298156
90,0.6103629038539047
90,0.5134616621950812
110,0.5745531001530448
110,0.4422379170644381
110,0.5958502405560835
110,0.5561154081595242
110,0.5578567009450532
110,0.441408366206341
110,0.46927070459229236
110,0.48897022064095086
110,0.4452241876605832
110,0.49670986487567154
110,0.5415706965744915
110,0.5817757898188662
110,0.5745391860562111
110,0.5027904953032105
110,0.620912955369142
110,0.3664055259000297
110,0.528515115623572
110,0.3308734296969785
110,0.5651573016948073
110,0.7149491895896098
