L,rho
10,0.46303682873522517
10,0.37468669996076165
10,0.10013277364077804
10,0.35192548960713366
10,0.46841140036776224
10,0.3155808790922431
10,0.29518750717709064
10,0.49407445570059977
10,0.3639829627680194
10,0.3335113842784827
10,0.45110313599436647
10,0.42451692576572353
10,0.42029978901022036
10,0.08575759458188148
10,0.3975830935900825
10,0.411209151604108
10,0.22240108936706868
10,0.4295815097916301
10,0.1641686629685662
10,0.38723121119064774
30,0.48078180896844186
30,0.5188220621678428
30,0.4784286630744202
30,0.5064758691584822
30,0.4432137603127789
30,0.47267912526752975
30,0.40061627154895485
30,0.48762278775923784
30,0.3302348200228174
30,0.3723464032513775
30,0.32964438676553903
30,0.4316391680865352
30,0.507999963846429
30,0.45091632987266755
30,0.525268757513555
30,0.4357686789207691
30,0.4452565685196981
30,0.4612808991639556
30,0.44767234613542295
30,0.5530834982967984
50,0.5220510000837776
50,0.4765927836494473
50,0.4879061211782322
50,0.41892396081983824
50,0.4424472695405433
50,0.5790493746267433
50,0.5378828488214678
50,0.561178328395947
50,0.4823613178110062
50,0.5048569544927584
50,0.599643960647816
50,0.48597026136587274
50,0.5390282195256706
50,0.5758062621953822
50,0.49042451680352656
50,0.46602814581665086
50,0.473224908303642
50,0.4058641167279069
50,0.5833482214358201
50,0.49575662369057016
70,0.5078498422532409
70,0.430232438108875
70,0.5706686643534057
70,0.533961466831186
70,0.5437480818774374
70,0.49059964898646236
70,0.5444548649720672
70,0.45455443353656066
70,0.4460722979652267
70,0.549446947495705
70,0.5110230599811955
70,0.4100568418394395
70,0.5533880044964903
70,0.5970034090334779
70,0.4603775061371857
70,0.5296578575420892
70,0.6000643371270078
70,0.5761856166940409
70,0.6126833891413126
70,0.5423722042185808
90,0.49707621167886884
90,0.49050130788380264
90,0.5441615104974639
90,0.5061863260383799
90,0.497982622400281
90,0.4873226740557558
90,0.5024003596346467
90,0.4849747856415356
90,0.5744434203696054
90,0.5460248433387777
90,0.5342443735983821
90,0.6236809627190657
90,0.4994679766719741
90,0.521076621547162
90,0.5317893408201648
90,0.5126338662069877
90,0.4635700786358361
90,0.6382700753228157
90,0.47390249271703677
90,0.5271307763823974
110,0.5382281570390526
110,0.5341487103390761
110,0.5454130549171087
110,0.47708441805605833
110,0.48087069892840745
110,0.5811748034607829
110,0.5394088834891424
110,0.6128430644541394
110,0.46627362607434036
110,0.5962906961316429
110,0.51317686557555
110,0.5219889131706833
110,0.5187615316465644
110,0.5433063518647726
110,0.5594756426604901
110,0.5309573684205905
110,0.5484771398299884
110,0.5642959772307253
110,0.5255036258700925
110,0.6224285945329228
